,city_non_ph,educstat,have_comp_degree,comp_related_degree,careerstg,industry,how_long_in_salary,typework,shift_schedule,side_gig,sizeteam,ai_work,ai_study,region_ph,age_grp,salary_broader,sitework_Hybrid,sitework_Mostly onsite,sitework_Mostly work from home/ fully remote,sitework_None of the above,employertype_Foreign employer,employertype_I'm an entrepreneur,employertype_I'm self-employed,employertype_Local employer,employertype_Multinational employer,employertype_None of the above,employertype_Public service,datarole_Admin & Support Role,datarole_Consulting & Freelance,datarole_Content Related,datarole_Customer Service & Operations,datarole_Data Analysis & Insights,datarole_Data Engineering,datarole_Data Processing & Entry,datarole_Data Science,datarole_Education & Learning,datarole_Engineering,datarole_Legal & Public Affairs,datarole_Management & Leadership,datarole_Marketing & Sales,datarole_None Of The Above,datarole_Not Applicable,datarole_Research,datarole_Software Engineering,datarole_Technical Support & It Operations,gender_Female,gender_LGBTQ+,gender_Male,gender_Prefer not to say
16,-0.0,-0.0,-0.0,-0.07273605397781553,0.30078341674252146,0.011851251666306713,0.03201090262983323,-0.0,0.047831719382182905,-0.0,0.1889657080441088,-0.02143015031005668,0.0,-0.0,-0.0,1.0697572162439037,0.0,0.0,0.028493180503483335,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
18,-0.0,-0.0,0.0,0.07952943744112195,0.30078341674252146,-0.1267319331413121,0.03201090262983323,-0.0,0.047831719382182905,-0.0,0.1889657080441088,0.002119465415280333,0.0,-0.0,0.0,-0.12550224324649148,-0.0,0.0,-0.01899545366898889,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
20,-0.0,0.0,0.0,-0.04931059375951746,0.30078341674252146,0.054859826261774616,0.03201090262983323,-0.0,-0.12932279684812414,-0.0,0.2879006337216527,0.002119465415280333,0.0,-0.0,0.0,1.0697572162439037,0.0,0.0,0.028493180503483335,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
21,-0.0,-0.0,-0.0,-0.07273605397781553,-0.015830706144343176,-0.0024849398655159213,-0.304945967157885,-0.0,0.0035430903246061437,-0.0,0.09003078236656493,0.01389427327794884,-0.0,-0.0,-0.0,-0.7231319729916891,0.0,-0.0,-0.01899545366898889,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
24,-0.0,-0.0,-0.0,-0.07273605397781553,0.30078341674252146,0.05008109575116707,-0.05222831481709634,-0.0,-0.08503416779054737,-0.0,-0.10783906898852282,0.002119465415280333,-0.0,-0.0,-0.0,1.0697572162439037,0.0,0.0,0.028493180503483335,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
26,-0.0,-0.0,0.0,0.02096578689537677,0.30078341674252146,0.09786840085724252,0.03201090262983323,-0.0,0.047831719382182905,0.0,-0.10783906898852282,0.002119465415280333,-0.0,-0.0,0.0,1.0697572162439037,0.0,0.0,0.028493180503483335,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
33,-0.0,0.0,0.0,0.08538580249569648,0.30078341674252146,0.0835322093254199,-0.05222831481709634,-0.0,-0.04074553873297061,0.0,-0.10783906898852282,0.002119465415280333,-0.0,-0.0,-0.0,0.4721274864987061,-0.0,0.0,-0.01899545366898889,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
34,-0.0,-0.0,-0.0,-0.07273605397781553,0.30078341674252146,0.011851251666306713,0.20048933752369236,-0.0,0.047831719382182905,-0.0,0.2879006337216527,0.002119465415280333,-0.0,0.0,0.0,-0.12550224324649148,0.0,0.0,0.028493180503483335,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0
37,-0.0,0.0,0.0,0.05024761216824936,-0.6490589519180724,0.03574490421934444,-0.05222831481709634,-0.0,0.047831719382182905,0.0,-0.2067739946660667,0.002119465415280333,-0.0,0.0,0.0,-0.12550224324649148,0.0,-0.0,-0.01899545366898889,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
38,-0.0,-0.0,0.0,0.07952943744112195,0.30078341674252146,0.0835322093254199,0.20048933752369236,-0.0,0.047831719382182905,-0.0,0.09003078236656493,0.002119465415280333,0.0,0.0,0.0,-0.7231319729916891,-0.0,0.0,-0.01899545366898889,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
39,-0.0,-0.0,0.0,-0.07273605397781553,0.30078341674252146,-0.026378592418553646,-0.13646753226402591,-0.0,-0.08503416779054737,-0.0,-0.10783906898852282,0.002119465415280333,-0.0,-0.0,-0.0,-0.12550224324649148,0.0,0.0,0.028493180503483335,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
41,-0.0,0.0,0.0,0.05024761216824936,-0.3324448290312078,0.05963855677238217,-0.304945967157885,0.0,0.0035430903246061437,-0.0,0.2879006337216527,0.002119465415280333,-0.0,0.0,-0.0,1.0697572162439037,0.0,0.0,0.028493180503483335,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
46,-0.0,-0.0,-0.0,-0.07273605397781553,-0.6490589519180724,0.0644172872829897,-0.05222831481709634,-0.0,0.047831719382182905,-0.0,-0.2067739946660667,-0.009655342447388172,0.0,-0.0,0.0,-0.7231319729916891,0.0,-0.0,-0.01899545366898889,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
48,-0.0,-0.0,0.0,0.02096578689537677,0.30078341674252146,-0.026378592418553646,-0.13646753226402591,-0.0,0.047831719382182905,-0.0,0.09003078236656493,0.002119465415280333,-0.0,0.0,-0.0,-0.12550224324649148,0.0,0.0,0.028493180503483335,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
55,-0.0,-0.0,0.0,0.02096578689537677,-0.015830706144343176,-0.0024849398655159213,-0.13646753226402591,0.0,0.047831719382182905,-0.0,-0.008904143310978935,0.002119465415280333,-0.0,-0.0,-0.0,-0.7231319729916891,-0.0,0.0,-0.01899545366898889,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0
57,-0.0,-0.0,0.0,0.08538580249569648,0.30078341674252146,0.10264713136785007,-0.05222831481709634,-0.0,0.047831719382182905,-0.0,0.1889657080441088,0.002119465415280333,-0.0,0.0,0.0,-0.12550224324649148,0.0,0.0,0.028493180503483335,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
60,-0.0,-0.0,0.0,0.02096578689537677,-0.6490589519180724,-0.026378592418553646,0.11625012007676279,-0.0,0.047831719382182905,0.0,-0.2067739946660667,0.002119465415280333,-0.0,-0.0,0.0,-0.7231319729916891,0.0,-0.0,-0.01899545366898889,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
62,-0.0,-0.0,-0.0,-0.07273605397781553,0.30078341674252146,0.0835322093254199,-0.05222831481709634,-0.0,0.047831719382182905,-0.0,-0.008904143310978935,0.002119465415280333,-0.0,-0.0,0.0,-0.7231319729916891,0.0,-0.0,-0.01899545366898889,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
63,-0.0,0.0,-0.0,-0.07273605397781553,-0.6490589519180724,-0.026378592418553646,0.11625012007676279,-0.0,-0.04074553873297061,-0.0,-0.10783906898852282,0.002119465415280333,0.0,-0.0,-0.0,-0.12550224324649148,0.0,-0.0,-0.01899545366898889,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
71,-0.0,-0.0,-0.0,-0.07273605397781553,-0.6490589519180724,-0.10761701109888192,0.20048933752369236,0.0,-0.12932279684812414,0.0,-0.2067739946660667,0.002119465415280333,-0.0,-0.0,0.0,-0.7231319729916891,0.0,0.0,0.028493180503483335,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0
78,-0.0,-0.0,0.0,0.13223672293229263,0.30078341674252146,0.0835322093254199,0.11625012007676279,-0.0,-0.04074553873297061,0.0,0.09003078236656493,0.002119465415280333,-0.0,0.0,0.0,-0.12550224324649148,-0.0,0.0,-0.01899545366898889,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
80,-0.0,-0.0,0.0,0.02096578689537677,0.30078341674252146,-0.026378592418553646,-0.05222831481709634,-0.0,0.047831719382182905,-0.0,-0.2067739946660667,0.002119465415280333,-0.0,-0.0,0.0,-0.7231319729916891,0.0,-0.0,-0.01899545366898889,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
89,-0.0,-0.0,-0.0,0.07952943744112195,0.30078341674252146,0.021408712687521803,-0.05222831481709634,-0.0,0.047831719382182905,-0.0,0.2879006337216527,-0.02143015031005668,0.0,-0.0,0.0,-0.12550224324649148,0.0,0.0,0.028493180503483335,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
90,-0.0,-0.0,-0.0,-0.07273605397781553,0.30078341674252146,0.011851251666306713,0.03201090262983323,-0.0,-0.04074553873297061,-0.0,-0.2067739946660667,0.025669081140617344,-0.0,0.0,0.0,-0.12550224324649148,-0.0,0.0,-0.01899545366898889,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
91,-0.0,-0.0,0.0,0.02096578689537677,0.30078341674252146,0.0835322093254199,-0.304945967157885,-0.0,0.047831719382182905,-0.0,-0.008904143310978935,-0.009655342447388172,0.0,-0.0,-0.0,-0.7231319729916891,-0.0,0.0,-0.01899545366898889,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
108,-0.0,-0.0,0.0,-0.07273605397781553,-0.6490589519180724,-0.026378592418553646,-0.05222831481709634,-0.0,0.047831719382182905,-0.0,0.09003078236656493,0.002119465415280333,-0.0,-0.0,0.0,-0.12550224324649148,0.0,0.0,0.028493180503483335,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
114,-0.0,-0.0,0.0,0.13223672293229263,0.30078341674252146,0.0835322093254199,-0.13646753226402591,-0.0,-0.04074553873297061,-0.0,0.1889657080441088,0.002119465415280333,0.0,-0.0,-0.0,1.0697572162439037,-0.0,0.0,-0.01899545366898889,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
115,-0.0,0.0,0.0,0.07952943744112195,0.30078341674252146,0.0835322093254199,-0.13646753226402591,-0.0,0.047831719382182905,-0.0,0.2879006337216527,0.002119465415280333,0.0,-0.0,-0.0,1.0697572162439037,-0.0,0.0,-0.01899545366898889,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
116,-0.0,0.0,0.0,0.07952943744112195,0.30078341674252146,0.0835322093254199,-0.13646753226402591,-0.0,0.047831719382182905,0.0,0.1889657080441088,0.002119465415280333,-0.0,-0.0,0.0,1.0697572162439037,0.0,-0.0,-0.01899545366898889,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
117,-0.0,-0.0,-0.0,-0.07273605397781553,0.30078341674252146,0.05008109575116707,-0.13646753226402591,-0.0,0.047831719382182905,-0.0,0.09003078236656493,0.002119465415280333,-0.0,0.0,-0.0,1.0697572162439037,0.0,0.0,0.028493180503483335,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
118,-0.0,-0.0,-0.0,0.07952943744112195,0.30078341674252146,-0.026378592418553646,0.03201090262983323,-0.0,0.047831719382182905,-0.0,-0.008904143310978935,0.002119465415280333,-0.0,0.0,0.0,1.0697572162439037,-0.0,0.0,-0.01899545366898889,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
119,-0.0,-0.0,-0.0,-0.07273605397781553,0.30078341674252146,0.0835322093254199,-0.05222831481709634,-0.0,0.047831719382182905,-0.0,-0.2067739946660667,0.03744388900328585,0.0,-0.0,0.0,-0.7231319729916891,0.0,-0.0,-0.01899545366898889,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
120,-0.0,-0.0,0.0,0.02096578689537677,0.30078341674252146,0.040523634729951984,-0.13646753226402591,-0.0,0.047831719382182905,-0.0,-0.10783906898852282,0.002119465415280333,-0.0,0.0,0.0,1.0697572162439037,0.0,0.0,0.028493180503483335,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
121,-0.0,-0.0,0.0,0.08538580249569648,-0.3324448290312078,-0.055050975482198915,-0.05222831481709634,-0.0,0.0035430903246061437,0.0,0.09003078236656493,0.002119465415280333,-0.0,-0.0,0.0,1.0697572162439037,0.0,0.0,0.028493180503483335,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
122,-0.0,-0.0,0.0,0.13223672293229263,0.30078341674252146,0.06919601779359726,-0.05222831481709634,-0.0,0.047831719382182905,0.0,-0.008904143310978935,0.002119465415280333,-0.0,-0.0,0.0,1.0697572162439037,0.0,0.0,0.028493180503483335,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
124,-0.0,-0.0,0.0,0.05024761216824936,0.30078341674252146,-0.007263670376123466,-0.05222831481709634,-0.0,-0.04074553873297061,-0.0,0.09003078236656493,0.002119465415280333,-0.0,0.0,-0.0,1.0697572162439037,0.0,0.0,0.028493180503483335,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
125,-0.0,-0.0,0.0,0.05024761216824936,0.30078341674252146,-0.10283828058827436,-0.05222831481709634,-0.0,0.047831719382182905,-0.0,-0.2067739946660667,-0.009655342447388172,-0.0,-0.0,0.0,-0.12550224324649148,0.0,-0.0,-0.01899545366898889,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
126,-0.0,-0.0,0.0,0.02096578689537677,0.30078341674252146,-0.06938716701402155,-0.13646753226402591,-0.0,0.0035430903246061437,-0.0,-0.008904143310978935,-0.02143015031005668,-0.0,-0.0,-0.0,1.0697572162439037,0.0,0.0,0.028493180503483335,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
127,-0.0,0.0,0.0,0.12052399282314359,-0.015830706144343176,0.0835322093254199,-0.05222831481709634,-0.0,0.047831719382182905,-0.0,-0.10783906898852282,0.002119465415280333,-0.0,0.0,-0.0,1.0697572162439037,0.0,-0.0,-0.01899545366898889,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0
